transport,cls,mode,loss_pct,rtt_ms,rate,run,seed,sent,replies,p50_ms,p90_ms,p99_ms,p999_ms,min_ms,max_ms,mean_ms
taut,2,latency,0.000000,30.000000,500.000000,2,2,5104,5104,15.149562,15.738837,80.028983,117.273050,15.011347,124.901893,17.998010
tcp,,latency,0.000000,30.000000,500.000000,3,3,4998,4998,15.059143,15.089536,15.803397,25.362922,15.016284,33.923772,15.097510
enet,,latency,0.000000,30.000000,500.000000,3,3,4998,4998,15.060505,15.085411,15.461319,16.783074,15.008784,17.176194,15.069587
taut,1,latency,0.000000,30.000000,500.000000,3,3,4998,4998,15.120679,15.201508,15.627667,16.627989,15.010795,17.146386,15.134840
taut,2,latency,0.000000,30.000000,500.000000,3,3,4998,4998,15.136441,15.225901,15.957698,18.517503,15.010229,20.602306,15.165347
tcp,,latency,0.000000,30.000000,500.000000,4,4,4976,4976,15.058931,15.092759,16.082350,34.224340,15.011144,42.499355,15.133750
enet,,latency,0.000000,30.000000,500.000000,4,4,4976,4976,15.060647,15.086521,15.460148,17.173219,15.012412,18.733187,15.072149
taut,1,latency,0.000000,30.000000,500.000000,4,4,4976,4976,15.124414,15.201705,15.327207,16.401188,15.010111,17.985934,15.132114
taut,2,latency,0.000000,30.000000,500.000000,4,4,4976,4976,15.121660,15.196543,15.534889,16.696778,15.011449,19.203305,15.131196
tcp,,latency,0.000000,30.000000,500.000000,5,5,5003,5003,15.061898,15.109078,41.981509,136.156388,15.009362,140.503627,16.010767
enet,,latency,0.000000,30.000000,500.000000,5,5,5003,5003,15.060730,15.087564,15.586388,17.483087,15.008960,18.245508,15.075766
taut,1,latency,0.000000,30.000000,500.000000,5,5,5003,5003,15.124985,15.202077,15.394045,16.793029,15.011150,19.694866,15.132823
taut,2,latency,0.000000,30.000000,500.000000,5,5,5003,5003,15.122437,15.197297,15.262622,16.490497,15.009549,17.426713,15.127856
tcp,,latency,1.000000,30.000000,500.000000,1,1,4905,4905,17.484300,67.712429,121.856899,145.846654,15.009722,156.845781,29.504685
enet,,latency,1.000000,30.000000,500.000000,1,1,4905,4905,15.068138,46.483346,317.692466,405.750677,15.009293,416.098319,27.328144
taut,1,latency,1.000000,30.000000,500.000000,1,1,4905,4905,15.122868,15.203243,17.372509,46.271056,15.010814,54.051648,15.390142
taut,2,latency,1.000000,30.000000,500.000000,1,1,4905,4905,15.135576,21.973498,45.856479,46.376152,15.011601,48.817059,17.211251
tcp,,latency,1.000000,30.000000,500.000000,2,2,5104,5104,19.696097,63.859174,114.309689,133.628045,15.012566,139.418935,30.897339
enet,,latency,1.000000,30.000000,500.000000,2,2,5104,5104,15.066884,39.792546,59.042811,133.695055,15.010218,146.695942,20.347070
taut,1,latency,1.000000,30.000000,500.000000,2,2,5104,5104,15.123608,15.201876,46.078964,46.299735,15.010037,77.118616,15.465106
taut,2,latency,1.000000,30.000000,500.000000,2,2,5104,5104,15.139054,28.667950,46.098480,46.329178,15.009583,50.210072,17.885856
tcp,,latency,1.000000,30.000000,500.000000,3,3,4998,4998,28.068373,189.595872,260.780870,278.764483,15.007109,285.184451,59.806138
enet,,latency,1.000000,30.000000,500.000000,3,3,4998,4998,15.069094,53.238052,409.314706,507.912125,15.009488,514.486472,34.173717
taut,1,latency,1.000000,30.000000,500.000000,3,3,4998,4998,15.120178,15.198560,46.100587,46.301179,15.011932,46.722482,15.470139
taut,2,latency,1.000000,30.000000,500.000000,3,3,4998,4998,15.129780,22.622590,45.830549,46.302661,15.009400,49.804008,17.333175
tcp,,latency,1.000000,30.000000,500.000000,4,4,4976,4976,17.070222,54.526774,131.035224,164.973558,15.006775,171.270385,27.304766
enet,,latency,1.000000,30.000000,500.000000,4,4,4976,4976,15.107212,772.305389,1642.241771,1726.812008,15.016298,1730.986545,174.748675
taut,1,latency,1.000000,30.000000,500.000000,4,4,4976,4976,15.137644,15.225370,46.160221,46.406380,15.015699,49.872160,15.554917
taut,2,latency,1.000000,30.000000,500.000000,4,4,4976,4976,15.135506,25.643214,45.888282,46.304938,15.011791,46.367751,17.507158
tcp,,latency,1.000000,30.000000,500.000000,5,5,5003,5003,21.108611,52.942737,85.500613,109.606974,15.015307,121.220984,28.546958
enet,,latency,1.000000,30.000000,500.000000,5,5,5003,5003,15.069469,44.387219,76.901319,127.631393,15.010795,144.040084,21.482118
taut,1,latency,1.000000,30.000000,500.000000,5,5,5003,5003,15.120373,15.196172,16.713190,46.300618,15.009591,54.341039,15.418479
taut,2,latency,1.000000,30.000000,500.000000,5,5,5003,5003,15.142347,27.268994,46.078312,46.313732,15.008026,49.241895,17.779546
tcp,,latency,5.000000,30.000000,500.000000,1,1,4905,4265,727.835679,1452.650902,1639.455075,1687.267274,15.025875,1690.638257,796.455626
enet,,latency,5.000000,30.000000,500.000000,1,1,4905,40,15.066616,15.097382,15.115178,15.115178,15.030395,15.115178,15.069035
taut,1,latency,5.000000,30.000000,500.000000,1,1,4905,4905,15.128181,15.221219,46.301731,53.563451,15.010261,119.529983,16.765857
taut,2,latency,5.000000,30.000000,500.000000,1,1,4905,4905,19.740288,43.959232,46.294030,49.201289,15.010497,59.528088,25.418260
tcp,,latency,5.000000,30.000000,500.000000,2,2,5104,4124,1791.330417,2393.834343,2455.590400,2471.830898,15.021674,2479.317314,1535.183626
enet,,latency,5.000000,30.000000,500.000000,2,2,5104,1527,86.356532,440.949471,642.803367,666.912745,15.018591,670.302543,171.421335
taut,1,latency,5.000000,30.000000,500.000000,2,2,5104,5104,15.122762,15.207473,46.298197,53.530694,15.009226,110.059161,16.642998
taut,2,latency,5.000000,30.000000,500.000000,2,2,5104,5104,22.227434,44.990515,53.091618,103.432972,15.010144,113.119094,26.792455
tcp,,latency,5.000000,30.000000,500.000000,3,3,4998,3693,2308.813186,3305.403029,3623.333385,3787.732202,15.033266,3789.834426,2167.130000
enet,,latency,5.000000,30.000000,500.000000,3,3,4998,2116,43.157588,130.172556,305.867368,344.349103,15.014505,346.271680,58.577467
taut,1,latency,5.000000,30.000000,500.000000,3,3,4998,4998,15.127244,15.212263,46.284468,58.099818,15.009638,111.975979,16.609657
taut,2,latency,5.000000,30.000000,500.000000,3,3,4998,4998,22.351684,44.925954,51.008637,107.381653,15.010837,117.401409,26.662386
tcp,,latency,5.000000,30.000000,500.000000,4,4,4976,4976,1274.267357,3567.874855,3656.633466,3704.818206,15.024790,3713.826801,1736.708830
enet,,latency,5.000000,30.000000,500.000000,4,4,4976,4976,37.903026,107.274025,398.571242,484.953547,15.017901,495.379676,56.201754
taut,1,latency,5.000000,30.000000,500.000000,4,4,4976,4976,15.127269,15.212331,46.283550,53.243052,15.010051,58.328822,16.750202
taut,2,latency,5.000000,30.000000,500.000000,4,4,4976,4976,21.666296,44.384585,46.355928,59.237411,15.011535,64.206061,26.063039
tcp,,latency,5.000000,30.000000,500.000000,5,5,5003,3361,1264.531397,3634.261349,4791.027024,4839.683283,15.022856,4847.038838,1744.249859
enet,,latency,5.000000,30.000000,500.000000,5,5,5003,5003,72.459900,1213.076972,1984.986598,2066.246935,15.016363,2081.206700,320.982771
taut,1,latency,5.000000,30.000000,500.000000,5,5,5003,5003,15.185213,48.738348,165.299132,246.495991,15.019481,343.474846,25.765857
taut,2,latency,5.000000,30.000000,500.000000,5,5,5003,5003,25.984098,66.554053,343.154307,432.154643,15.013472,438.427665,41.863840
tcp,,latency,10.000000,30.000000,500.000000,1,1,4905,1165,945.410307,1663.722290,2026.983095,2038.339314,15.027205,2047.513903,946.220203
enet,,latency,10.000000,30.000000,500.000000,1,1,4905,3162,163.234463,691.907989,1268.038484,1313.630070,15.025464,1319.908645,276.789342
taut,1,latency,10.000000,30.000000,500.000000,1,1,4905,4905,15.140812,46.226825,278.775740,351.907633,15.012376,385.556221,28.662343
taut,2,latency,10.000000,30.000000,500.000000,1,1,4905,4905,36.577553,60.043365,220.151509,263.997498,15.011570,275.776525,43.054238
tcp,,latency,10.000000,30.000000,500.000000,2,2,5104,2134,1356.582881,3120.907402,3542.166455,3613.762387,15.115072,3625.190073,1445.889487
enet,,latency,10.000000,30.000000,500.000000,2,2,5104,1611,113.766976,404.601520,634.327387,675.523235,15.047522,678.500532,172.417186
taut,1,latency,10.000000,30.000000,500.000000,2,2,5104,5104,15.134156,46.064397,115.881168,893.798009,15.011800,921.158047,26.502802
taut,2,latency,10.000000,30.000000,500.000000,2,2,5104,5104,36.636921,46.246223,95.272930,111.088571,15.020297,115.723275,34.910345
tcp,,latency,10.000000,30.000000,500.000000,3,3,4998,382,105.915234,639.955673,741.652370,746.765757,15.018788,746.765757,223.048516
enet,,latency,10.000000,30.000000,500.000000,3,3,4998,4998,117.231488,562.862079,1199.841232,1286.666859,15.017667,1298.134123,220.034118
taut,1,latency,10.000000,30.000000,500.000000,3,3,4998,4998,15.138770,46.177257,105.150620,137.244414,15.009698,236.576448,20.639093
taut,2,latency,10.000000,30.000000,500.000000,3,3,4998,4998,37.426579,57.370818,201.105001,243.756423,15.010891,247.821301,41.283223
tcp,,latency,10.000000,30.000000,500.000000,4,4,4976,702,626.104193,1071.713150,1278.203331,1312.555851,15.094352,1312.555851,560.265585
enet,,latency,10.000000,30.000000,500.000000,4,4,4976,4976,74.144648,328.389046,712.446790,797.361681,15.015379,803.620557,134.303903
taut,1,latency,10.000000,30.000000,500.000000,4,4,4976,4976,15.138723,46.276981,211.347030,300.114346,15.009850,412.292545,27.019829
taut,2,latency,10.000000,30.000000,500.000000,4,4,4976,4976,35.878173,46.234498,95.742520,115.522653,15.011118,118.033213,34.383116
tcp,,latency,10.000000,30.000000,500.000000,5,5,5003,603,479.755769,1274.148173,1529.734276,1535.657236,15.108392,1535.657236,583.681775
enet,,latency,10.000000,30.000000,500.000000,5,5,5003,7,15.079331,15.153847,15.153847,15.153847,15.058257,15.153847,15.086274
taut,1,latency,10.000000,30.000000,500.000000,5,5,5003,5003,15.134205,46.149474,79.114196,123.962038,15.011069,236.919928,19.803593
taut,2,latency,10.000000,30.000000,500.000000,5,5,5003,5003,38.664829,87.191839,329.563266,380.771256,15.010674,392.214827,50.928563
tcp,,latency,20.000000,30.000000,500.000000,1,1,4905,127,80.333492,229.466202,255.785481,256.655995,15.212936,256.655995,103.544517
enet,,latency,20.000000,30.000000,500.000000,1,1,4905,466,675.196804,869.383526,901.197018,903.947830,15.194024,903.947830,661.125197
taut,1,latency,20.000000,30.000000,500.000000,1,1,4905,4905,346.155529,909.959771,1183.542116,1239.519590,15.019362,1298.452906,412.864366
taut,2,latency,20.000000,30.000000,500.000000,1,1,4905,4905,59.540731,377.813465,526.919974,603.955099,15.010078,614.340158,142.384800
tcp,,latency,20.000000,30.000000,500.000000,2,2,5104,92,93.448437,158.345263,221.796343,221.796343,41.615101,221.796343,106.869928
enet,,latency,20.000000,30.000000,500.000000,2,2,5104,1042,788.337610,4133.214377,4282.607781,4300.882654,15.138459,4304.944053,1505.506772
taut,1,latency,20.000000,30.000000,500.000000,2,2,5104,5104,305.082984,860.957379,969.724559,1029.501434,15.009644,1066.705276,382.263241
taut,2,latency,20.000000,30.000000,500.000000,2,2,5104,5104,242.261552,697.571426,874.063403,942.039057,15.054011,949.489792,310.649655
tcp,,latency,20.000000,30.000000,500.000000,3,3,4998,26,208.808741,225.755247,229.319578,229.319578,194.164650,229.319578,209.951079
enet,,latency,20.000000,30.000000,500.000000,3,3,4998,643,8791.915118,9312.522505,9410.679778,9421.125096,15.111694,9421.125096,8195.581230
taut,1,latency,20.000000,30.000000,500.000000,3,3,4998,4998,8762.964198,12683.477640,12865.232966,12927.883958,15.026574,13007.033932,7516.305648
taut,2,latency,20.000000,30.000000,500.000000,3,3,4998,4998,194.584295,386.219923,517.563847,576.524810,15.127985,580.553883,207.703663
tcp,,latency,20.000000,30.000000,500.000000,4,4,4976,176,69.450978,226.917912,378.860449,380.000057,15.057565,380.000057,104.512632
enet,,latency,20.000000,30.000000,500.000000,4,4,4976,1408,2615.168838,3312.613082,5384.955776,5405.474448,15.184347,5406.879005,2699.180083
taut,1,latency,20.000000,30.000000,500.000000,4,4,4976,4976,96.080056,611.496251,816.472093,883.040933,15.035720,903.972001,215.425450
taut,2,latency,20.000000,30.000000,500.000000,4,4,4976,4976,893.486745,1347.017720,1488.752386,1562.488582,15.086244,1571.892699,828.214052
tcp,,latency,20.000000,30.000000,500.000000,5,5,5003,84,86.745213,112.265380,125.900035,125.900035,15.112632,125.900035,80.301273
enet,,latency,20.000000,30.000000,500.000000,5,5,5003,4477,979.889227,1749.632222,2376.351477,2446.027634,15.196026,2454.579640,1019.174684
taut,1,latency,20.000000,30.000000,500.000000,5,5,5003,5003,274.619202,1712.163626,1923.825598,1991.540558,15.009821,2054.244799,596.817000
taut,2,latency,20.000000,30.000000,500.000000,5,5,5003,5003,102.613121,620.369450,858.281259,930.143546,15.027183,936.811553,215.807059
